OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Budsberg Lake,Portage,19.72,60,T24N R10E S23 NE NE,183200
Buena Lake,Racine,72,8,T4N R19E S23 SE SW,763500
Buffalo Lake,Marquette,2178.87,8,T15N R10E S16 NW NW,168000
Buffalo Lake,Bayfield,184.69,29,T43N R5W S35 NE SW,1837700
Buffalo Lake,Oneida,104.72,27,T39N R7E S12 SW SW,974200
Bughs Lake,Waushara,23.46,18,T19N R10E S36 SW SE,102100
Bugle Lake,Trempealeau,24.58,10,T22N R9W S25 NW SE,1782700
Bullet Lake,Sheboygan,7.67,72,T16N R21E S35 SE SW,45000
Bullhead Lake,Sawyer,7.68,20,T42N R6W S28 NE SE,1837900
Bullhead Lake,Sawyer,7.68,20,T42N R6W S28 NE SE,1837900
Bullhead Lake,Manitowoc,69.52,40,T19N R21E S19 NW SE,68300
Bullhead Lake,Bayfield,26.84,10,T44N R5W S29 SW NW,2456000
Bullhead Lake,Sawyer,7.28,17,T42N R9W S36 NE SW,2455900
Bullhead Lake,Oneida,34.94,16,T39N R6E S11 NW SW,974700
Burd Lake,Sawyer,14.32,10,T41N R5W S25 SE NE,1838100
Burkhardt Mill Pond,Saint Croix,101.93,38,T29N R19W S10 NW NE,2607600
Burlingame Lake,Burnett,62.87,19,T41N R15W S30 NW SW,2671400
Burns Lake,Sawyer,40.93,9,T41N R7W S17 SE SW,2436400
Burnt Wagon Lake,Chippewa,18.89,17,T31N R8W S10 SE NW,1838200
Burrows Lake,Oneida,149.14,28,T36N R5E S3 SW NW,975000
Buskey Bay,Bayfield,88.28,51,T47N R8W S28 NE SW,2903800
Butler Lake,Sheboygan,4.76,13,T14N R20E S20 SW NE,38500
Buttermilk Lake,Fond du Lac,13.24,6,T13N R19E S15 SE NW,8300
Butternut Lake,Barron,144.98,15,T36N R12W S6 NW SE,2105800
Butternut Lake,Price,983.2,32,T40N R1W S18 SE NE,2283300
Butternut Lake,Forest,1246.34,42,T40N R12E S27 SE SE,692400
Butternut Lake,Ashland,983.2,32,T40N R1W S18 SE NE,2283300
Butzke Lake,Fond du Lac,16.3,8,T13N R19E S16 NE SE,42200
Byrd Lake,Sawyer,3.18,5,T41N R6W S6 SE SE,1838300
Cable Lake,Bayfield,159.28,43,T43N R8W S1 SW SE,2729700
Cable Lake,Washburn,179.12,24,T39N R13W S13 NE SE,2456100
Cadotte Lake,Burnett,121.32,21,T40N R15W S12 NW NW,2673600
Cadotte Lake,Chippewa,14.23,40,T32N R8W S5 NW NE,1838400
Cadotte Lake,Rusk,14.23,40,T32N R8W S5 NW NE,1838400
Caldron Falls Reservoir*,Marinette,1062.75,40,T33N R18E S10 NE NW,545400
Caldron Falls Reservoir*,Oconto,1062.75,40,T33N R18E S10 NE NW,545400
Caley Lake,Rusk,54.84,10,T34N R7W S29 NE SW,1838500
Calkins Lake,Chippewa,45.51,29,T32N R9W S11 SE NW,2351100
Calkins North Lake,Chippewa,12.6,28,T32N R8W S29 NE NW,1869000
Callahan Lake,Sawyer,138.41,18,T41N R7W S34 NE SW,2434700
Camelia Lake,Polk,61.82,6,T33N R15W S24 NW NE,2079400
Camelot Lake,Adams,393.38,24,T20N R6E S15 SW NW,1378100
Cammerer Lake,Ashland,18.5,27,T43N R1W S36 NW NW,1838600
Camp Five Lake,Oconto,21.11,15,T32N R16E S9 SW SE,486000
Camp Four Lake,Sawyer,15.16,25,T42N R6W S6 SW NE,1838800
Camp Lake,Rusk,6.55,25,T32N R8W S2 NW NE,1838900
Camp Lake,Bayfield,9.54,5,T44N R8W S20 SE NE,2456400
Camp Lake,Chippewa,6.55,25,T32N R8W S2 NW NE,1838900
